staging_temperatures.region,staging_temperatures.country,staging_temperatures.state,staging_temperatures.city,staging_temperatures.month,staging_temperatures.day,staging_temperatures.year,staging_temperatures.avgtemperature
Algeria,1964,0,15,0,3,0,15
Algeria,1965,0,12,0,5,0,12
Algeria,1966,0,16,0,0,0,16
Algeria,1967,0,15,0,7,0,15
Algeria,1968,0,11,0,7,0,11
Algeria,1969,0,19,0,3,0,19
Algeria,1970,0,12,0,1,0,12
Algeria,1971,0,20,2,1,0,20
Algeria,1972,2,13,2,2,0,13
Algeria,1973,2,11,3,4,0,11
Algeria,1974,3,10,1,0,0,10
Algeria,1975,1,16,3,0,0,16
Algeria,1976,3,15,3,0,0,15
Algeria,1977,3,8,0,0,0,8
Algeria,1978,0,13,1,0,0,13
Algeria,1979,1,11,0,0,0,11
Algeria,1980,0,18,0,0,0,18
Algeria,1981,0,15,0,0,0,15
Algeria,1982,0,16,0,0,0,16
Algeria,1983,0,13,0,0,0,13
Algeria,1984,0,12,0,0,0,12
Algeria,1985,0,12,0,0,0,12
Algeria,1986,0,12,0,0,0,12
Algeria,1987,0,12,0,0,0,12
Algeria,1988,0,10,3,0,0,10
Algeria,1989,3,15,2,0,0,15
Algeria,1990,2,24,2,0,0,24
Algeria,1991,2,26,13,0,0,26
Algeria,1992,13,27,13,0,0,27
Algeria,1993,13,27,7,0,0,27
Algeria,1994,7,24,0,0,0,24
Algeria,1995,0,30,22,0,0,30
Algeria,1996,22,34,39,0,0,34
Algeria,1997,39,35,19,0,0,35
Algeria,1998,19,36,38,0,0,36
Algeria,1999,38,36,36,0,0,36
Algeria,2000,36,35,27,0,0,35
Algeria,2001,27,35,19,0,0,35
Algeria,2002,19,34,0,0,0,34
Algeria,2003,0,37,33,0,0,37
Algeria,2004,33,37,30,0,0,37
Algeria,2005,30,37,25,0,0,37
Algeria,2006,25,36,11,0,0,36
Algeria,2007,11,35,0,0,0,35
Algeria,2008,0,42,21,0,0,42
Algeria,2009,21,67,4,0,0,67
Algeria,2010,4,38,6,0,0,38
Algeria,2011,6,59,10,0,0,59
Algeria,2012,10,53,12,0,0,53
Algeria,2013,12,55,14,0,0,55
Algeria,2014,14,65,19,0,0,65
Algeria,2015,19,80,21,0,0,80
Algeria,2016,21,66,18,0,0,66
Algeria,2017,18,85,16,0,0,85
Algeria,2018,16,92,21,0,0,92
Algeria,2019,21,115,32,0,0,115
Algeria,2020,32,80,21,1,0,80
Algeria,2021,21,95,20,0,0,95
Algeria,2022,20,75,21,0,0,75
Algeria,2023,21,92,22,0,0,92
Argentina,1964,0,0,0,0,0,0
Argentina,1965,0,0,0,0,0,0
Argentina,1966,0,0,0,0,0,0
Argentina,1967,0,0,0,0,0,0
Argentina,1968,0,0,0,0,0,0
Argentina,1969,0,0,0,0,0,0
Argentina,1970,0,0,0,0,0,0
Argentina,1971,0,0,0,0,0,0
Argentina,1972,0,0,0,0,0,0
Argentina,1973,0,0,0,0,0,0
Argentina,1974,0,0,0,0,0,0
Argentina,1975,0,0,0,0,0,0
Argentina,1976,0,0,0,0,0,0
Argentina,1977,0,0,0,0,0,0
Argentina,1978,0,0,0,0,0,0
Argentina,1979,0,0,0,0,0,0
Argentina,1980,0,0,0,0,0,0
Argentina,1981,0,0,0,0,0,0
Argentina,1982,0,0,0,0,0,0
Argentina,1983,0,0,0,0,0,0
Argentina,1984,0,0,0,0,0,0
Argentina,1985,0,0,0,0,0,0
Argentina,1986,0,0,0,0,0,0
Argentina,1987,0,0,0,0,0,0
Argentina,1988,0,0,0,0,0,0
Argentina,1989,0,0,0,0,0,0
Argentina,1990,0,0,0,0,0,0
Argentina,1991,0,0,0,0,0,0
Argentina,1992,0,0,0,0,0,0
Argentina,1993,0,0,0,0,0,0
Argentina,1994,0,0,0,0,0,0
Argentina,1995,0,0,0,0,0,0
Argentina,1996,0,0,0,0,0,0
Argentina,1997,0,0,0,0,0,0
Argentina,1998,0,0,0,0,0,0
Argentina,1999,0,0,0,0,0,0
Argentina,2000,0,0,0,0,0,0
Argentina,2001,0,0,0,0,0,0
Argentina,2002,0,0,0,0,0,0
Argentina,2003,0,0,0,0,0,0
